déplaisir	4
impuissance	1
goûter	1
belle	8
grand	38
Car	3
cruel	2
rigoureuse	1
épargne	3
exercer	1
sécheresse	1
languir	1
servir	6
s'	22
bel	11
âge	7
jouir	4
entretenir	7
maintenant	6
marchand	2
moyen	8
porter	11
habit	5
raisonnable	6
aider	4
sonder	1
contraire	5
d'	4
partout	5
dessein	12
argent	62
emprunter	5
mien	3
oppose	1
désir	3
quitter	3
affranchir	1
tyrannie	1
longtemps	3
insupportable	1
sujet	4
regretter	1
mort	10
entendre	19
voix	1
eloignon	1
achever	2
joindre	2
attaquer	2
dureté	1
humeur	4
hors	2
réplique	2
allon	9
détal	1
juré	1
filou	1
vrer	1
gibier	1
potence	4
jamais	21
méchant	1
maudit	2
vieillard	3
pense	2
sauf	1
correction	1
diable	8
corps	2
tu	101
murmure	1
ton	12
dent	1
chasser	2
toi	21
pendard	9
demander	9
Sors	1
vite	8
t'	16
assomm	1
as	23
sorte	8
ordre	5
rue	2
maison	6
planter	1
droit	4
piquet	1
observer	2
passer	12
profit	1
cesse	3
espion	1
traître	10
maudire	2
assiéger	1
dévorer	1
posséder	2
furetter	1
voler	9
comment	34
diantre	4
voulez	2
ête	2
volable	1
renfermer	3
faites	4
sentinell	1
nuit	2
sentinelle	1
plaire	21
mouchard	1
2	1
gard	1
tremble	1
soupçonner	2
courir	7
bruit	4
cacher	6
coquin	8
enrager	4
demande	17
malicieusement	1
importe	3
ayez	2
ou	18
raisonneur	1
te	45
bailler	1
raisonnement	1
ci	6
oreille	3
sors	1
sortir	2
attend	1
emporte	2
emporter	3
tien	2
vien	5
çà	4
Montre	1
dedans	2
hauts-de-chausses	2
devenir	4
recéleur	1
dérobe	1
pendre	8
quelqu'	1
craint	1
euh	5
di	19
fouillez	1
volé	2
peste	3
soit	6
avaricieux	6
dis	7
vilain	3
ladre	3
entend	3
bonnet	1
ta	3
barrette	1
3	1
m'	1
empêcherez	1
empêcherai	2
jaser	1
insolent	1
Tais	1
rosser	4
morveux	2
mouche	1
tairas	1
malgré	3
Tenez	1
poche	1
satisfaire	2
rends-le-moi	1
fouiller	1
Assurément	4
adieu	2
t	23
congédié	1
mets	1
conscience	3
valet	5
incommode	1
plais	1
chien	3
boiteux	1
certes	4
garder	7
soi	4
somme	4
bienheureux	1
fait	17
placer	3
conserve	1
dépense	5
embarrasser	1
inventer	2
cache	1
coffre	1
suspect	2
fier	2
justemer	2
